Acteur,averageRating
Dafne Keen,8.1
Cybill Shepherd,8.1
Gian Maria VolontÃ¨,8.1
Antoine Olivier Pilon,8.1
Corey Feldman,8.1
Tatum O'Neal,8.1
Goya Toledo,8.1
Gracy Singh,8.1
Graham Norton,8.1
Haluk Bilginer,8.1
Haru Kuroki,8.1
Henning Moritzen,8.1
Christopher Carley,8.1
Roe-ha Kim,8.1
Margarita Terekhova,8.1
Mandy Patinkin,8.1
Mary Gibbs,8.1
NoÃ©mie Merlant,8.1
Marisa Berenson,8.1
Amrish Puri,8.1
Mario Casas,8.1
Bee Vang,8.1
Margaretha Krook,8.1
Mahito Tsujimura,8.1
Lisa Hannigan,8.1
Mahesh Babu,8.1
LuÃ na Bajrami,8.1
SaÃ¯d Taghmaoui,8.1
Siddharth,8.1
Parambrata Chattopadhyay,8.1
Liv Ullmann,8.1
Rupert Graves,8.1
MarÃ­a Marull,8.1
Nikolay Grinko,8.1
Masahiro Motoki,8.1
Akshay Kumar,8.1
MÃ³nica Villa,8.1
Sean Bridgers,8.1
Nassar,8.1
Mithun Chakraborty,8.1
Mirjana Jokovic,8.1
Michael Palin,8.1
Michael Kenneth Williams,8.1
Alain Delon,8.1
Melisa SÃ¶zen,8.1
Megumi Ogata,8.1
Nastassja Kinski,8.1
Alison Crosbie,8.1
Natalya Bondarchuk,8.1
Alisa Freyndlikh,8.1
Nathalie Delon,8.1
Anatoliy Solonitsyn,8.1
Ana Wagener,8.1
Soha Ali Khan,8.1
Prabhas,8.1
Kristina Adolphson,8.1
Predrag 'Miki' Manojlovic,8.1
Raghuvir Yadav,8.1
Rana Daggubati,8.1
Pruitt Taylor Vince,8.1
Kriti Sanon,8.1
Lazar Ristovski,8.1
Siu Ping-Lam,8.1
Alexander Gould,8.1
Aleksandr Kaydanovskiy,8.1
Andrea Eckert,8.1
Lewis Black,8.1
Peter Finch,8.1
Pernilla Allwin,8.1
Kim Sang-kyung,8.1
Kim Min-hee,8.1
Robert Sean Leonard,8.1
Thomas Bo Larsen,8.066666666666668
Lee Van Cleef,8.066666666666666
Ricardo DarÃ­n,8.05
Carrie Fisher,8.02
Christine Hargreaves,8.0
Yayan Ruhian,8.0
Bob Geldof,8.0
BjÃ¶rk,8.0
Nawazuddin Siddiqui,8.0
Rica Matsumoto,8.0
Eleanor Parker,8.0
Eli Marienthal,8.0
Victor Jory,8.0
Robby Benson,8.0
Ramya Krishnan,8.0
Nozomu Sasaki,8.0
Brad Garrett,8.0
Norma Crane,8.0
Christopher Heyerdahl,8.0
Chris Elliott,8.0
Penelope Allen,8.0
Chiara Mastroianni,8.0
Paige O'Hara,8.0
Otto Sander,8.0
Oh Yeong-su,8.0
Peter O'Toole,8.0
Danny Elfman,8.0
Rohini Hattangadi,8.0
Wagner Moura,8.0
Caio Junqueira,8.0
Vladimir Garin,8.0
Phyllis Logan,8.0
DarÃ­o Grandinetti,8.0
Ruby Dee,8.0
VinÃ­cius de Oliveira,8.0
Saurabh Shukla,8.0
Katharine Ross,8.0
Elizabeth Taylor,8.0
Scott Weinger,8.0
Linda Larkin,8.0
Linda Blair,8.0
Irandhir Santos,8.0
Ivan Dobronravov,8.0
Leonard Frey,8.0
Izabela Vidovic,8.0
Jackie Gleason,8.0
James Laurenson,8.0
James Rebhorn,8.0
Siu-Wong Fan,8.0
Jane Galloway Heitz,8.0
Jang Dong-Gun,8.0
Jason Robards,8.0
Jean-Louis Trintignant,8.0
Jesse Corti,8.0
John Cassavetes,8.0
John Gielgud,8.0
Kotoe Hatsui,8.0
Konstantin Lavronenko,8.0
Solveig Dommartin,8.0
Jong-ho Kim,8.0
Roddy McDowall,8.0
Julianne Nicholson,8.0
Jun Ji-hyun,8.0
Kim Ki-duk,8.0
In-mun Kim,8.0
Tae-Hyun Cha,8.0
Iemasa Kayumi,8.0
Tony Roberts,8.0
Mitsuo Iwata,8.0
Eun-ju Lee,8.0
Ulrich MÃ¼he,8.0
Fernanda Montenegro,8.0
Frantz Turner,8.0
Seung-Yun Lee,8.0
Sheetal Menon,8.0
FranÃ§ois Cluzet,8.0
Keiko Yokozawa,8.0
Shinpachi Tsuji,8.0
MarÃ­lia PÃªra,8.0
Mary McDonnell,8.0
Hyuk-ho Kwon,8.0
Marty Feldman,8.0
George Segal,8.0
Timothy Bottoms,8.0
Marianne Koch,8.0
Marcello Mastroianni,8.0
Mami Koyama,8.0
Harshaali Malhotra,8.0
Hee Jae,8.0
Maggie Cheung,8.0
Lou Romano,8.0
Simon Yam,8.0
Mayumi Tanaka,8.0
Junko Iwao,8.0
Anita Ekberg,8.0
Ayushmann Khurrana,8.0
Alec Cawthorne,8.0
Anouk AimÃ©e,8.0
AndrÃ© Ramiro,8.0
Anthony Quinn,8.0
Anthony Chau-Sang Wong,8.0
Arifin Putra,8.0
John Cazale,7.966666666666666
Edward Furlong,7.966666666666666
Don Rickles,7.95
Ruth Gordon,7.95
Ha Jung-woo,7.949999999999999
Daveigh Chase,7.949999999999999
IrÃ¨ne Jacob,7.949999999999999
Michael Biehn,7.933333333333334
Julie Delpy,7.92
Robert Shaw,7.900000000000001
Filip Sovagovic,7.9
John Billingsley,7.9
Mariel Hemingway,7.9
Minami Takayama,7.9
Dave Johns,7.9
Julia Greer,7.9
Martina Gedeck,7.9
Kirin Kiki,7.9
Richard Farnsworth,7.9
Rene Bitorajac,7.9
GastÃ³n Pauls,7.9
Klaus Kinski,7.9
Delphine Seyrig,7.9
Julian Dennison,7.9
Ferdia Walsh-Peelo,7.9
Birol Ãœnel,7.9
Rei Sakuma,7.9
GÃ¼ven KiraÃ§,7.9
Ellar Coltrane,7.9
Kirk Douglas,7.9
Vivian Pickles,7.9
Duane Jones,7.9
Zamira Saunders,7.9
Vlad Ivanov,7.9
Cary Grant,7.9
Paul Frankeur,7.9
Issey Takahashi,7.9
Graciela Tenenbaum,7.9
Sibel Kekilli,7.9
Michael McKean,7.9
Per Ragnar,7.9
Peter Billingsley,7.9
Tom Hulce,7.9
Brenda Fricker,7.9
Adil Hussain,7.9
Judith O'Dea,7.9
Branko Djuric,7.9
FranÃ§ois BerlÃ©and,7.9
Rima Te Wiata,7.9
Catinca Untaru,7.9
Cecilia Roth,7.9
Ken Foree,7.9
Melissa Fahn,7.9
Melinda Dillon,7.9
Frank Sinatra,7.9
Takashi Tachibana,7.9
Megumi Hayashibara,7.9
Yoko Honna,7.9
Gwilym Lee,7.9
Simu Liu,7.9
GÃ©rard Jugnot,7.9
Yilmaz Erdogan,7.9
Pupella Maggio,7.9
Koyu Rankin,7.9
Kazunari Ninomiya,7.9
Laura Harring,7.9
Kate Ashfield,7.9
Lina Leandersson,7.9
Emmanuelle Riva,7.9
Alison Whelan,7.9
Lucy Boynton,7.9
Roman Griffin Davis,7.9
David Lee Smith,7.9
Sharon Percy,7.9
Beau Billingslea,7.9
Niels Arestrup,7.9
Karl Malden,7.9
Karl Hardman,7.9
Sakura AndÃ´,7.9
Rosario Flores,7.9
Bruno Zanin,7.9
Jean Dujardin,7.9
Saif Ali Khan,7.9
Adel Bencherif,7.9
Jean-Baptiste Maunier,7.9
Laura Vasiliu,7.9
Anamaria Marinca,7.9
Ruy Guerra,7.9
Jean Simmons,7.9
Tsuyoshi Ihara,7.9
Justine Waddell,7.9
Christopher Guest,7.9
Jason Cope,7.9
Alejandro Jodorowsky,7.9
Helena Rojo,7.9
Bud Cort,7.9
Rob Reiner,7.9
Scott H. Reiniger,7.9
Bill Bernstein,7.9
Maria Doyle Kennedy,7.9
Taner Birsel,7.9
Nicholas Guest,7.9
Lee Pace,7.9
Horacio Salinas,7.9
Suraj Sharma,7.9
