tconst,primaryTitle,startYear,averageRating,numVotes,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
tt0059578,For a Few Dollars More,1965,8.2,244166.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0059646,Repulsion,1965,7.7,51275.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0059742,The Sound of Music,1965,8.0,216488.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0059800,Thunderball,1965,7.0,112264.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0060107,Andrei Rublev,1966,8.1,51015.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0060176,Blow-Up,1966,7.6,59340.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0060196,"The Good, the Bad and the Ugly",1966,8.8,719896.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0060390,Fahrenheit 451,1966,7.2,42526.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0060827,Persona,1966,8.1,111154.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0061184,Who's Afraid of Virginia Woolf?,1966,8.0,72899.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0061395,Belle de Jour,1967,7.7,42488.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0061418,Bonnie and Clyde,1967,7.8,108405.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0061512,Cool Hand Luke,1967,8.1,170454.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0061578,The Dirty Dozen,1967,7.7,70104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0061722,The Graduate,1967,8.0,263655.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0061735,Guess Who's Coming to Dinner,1967,7.8,42244.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0061747,Hang 'Em High,1968,7.0,37327.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0061811,In the Heat of the Night,1967,7.9,71084.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0061852,The Jungle Book,1967,7.6,173001.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0062229,Le SamouraÃ¯,1967,8.1,48585.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0062512,You Only Live Twice,1967,6.9,103860.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0062622,2001: A Space Odyssey,1968,8.3,631649.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0062765,Bullitt,1968,7.4,65751.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0062803,Chitty Chitty Bang Bang,1968,6.9,43323.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0063350,Night of the Living Dead,1968,7.9,122240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0063385,Oliver!,1968,7.4,36674.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0063415,The Party,1968,7.5,39639.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0063442,Planet of the Apes,1968,8.0,172651.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0063462,The Producers,1967,7.6,54187.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0063522,Rosemary's Baby,1968,8.0,204336.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0064115,Butch Cassidy and the Sundance Kid,1969,8.0,209393.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0064116,Once Upon a Time in the West,1968,8.5,315200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0064276,Easy Rider,1969,7.3,105813.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0064505,The Italian Job,1969,7.3,44454.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0064665,Midnight Cowboy,1969,7.8,106717.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0064757,On Her Majesty's Secret Service,1969,6.7,86210.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0065126,True Grit,1969,7.4,45616.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0065207,Where Eagles Dare,1968,7.6,55680.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0065214,The Wild Bunch,1969,7.9,81796.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0065421,The Aristocats,1970,7.1,98644.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0065462,Beneath the Planet of the Apes,1970,6.1,45063.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0065938,Kelly's Heroes,1970,7.6,47421.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0066026,MASH,1970,7.5,70291.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0066206,Patton,1970,7.9,98840.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0066434,THX 1138,1971,6.7,50057.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0066921,A Clockwork Orange,1971,8.3,787831.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0066995,Diamonds Are Forever,1971,6.6,101253.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0066999,Dirty Harry,1971,7.7,149621.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0067093,Fiddler on the Roof,1971,8.0,41473.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0067116,The French Connection,1971,7.7,116139.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0067185,Harold and Maude,1971,7.9,75041.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0067328,The Last Picture Show,1971,8.0,45196.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0067800,Straw Dogs,1971,7.5,58427.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0067992,Willy Wonka & the Chocolate Factory,1971,7.8,188944.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0068182,"Aguirre, the Wrath of God",1972,7.9,54935.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0068327,Cabaret,1972,7.8,52170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0068361,The Discreet Charm of the Bourgeoisie,1972,7.9,41112.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0068473,Deliverance,1972,7.7,103662.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0068555,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,1972,6.8,39162.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0068611,Frenzy,1972,7.4,43635.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0068646,The Godfather,1972,9.2,1709122.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0068699,High Plains Drifter,1973,7.5,52646.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0069113,The Poseidon Adventure,1972,7.1,42940.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0069281,Sleuth,1972,8.0,46496.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0069293,Solaris,1972,8.1,87002.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0069704,American Graffiti,1973,7.4,85676.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0069762,Badlands,1973,7.8,69928.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0069947,The Day of the Jackal,1973,7.8,39302.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0069995,Don't Look Now,1973,7.2,52829.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0070034,Enter the Dragon,1973,7.7,101084.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0070047,The Exorcist,1973,8.0,377537.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0070328,Live and Let Die,1973,6.8,102264.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0070355,Magnum Force,1973,7.2,59068.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0070379,Mean Streets,1973,7.2,104950.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0070510,Paper Moon,1973,8.1,44724.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0070511,Papillon,1973,8.0,126592.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0070608,Robin Hood,1973,7.6,120899.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0070666,Serpico,1973,7.7,117098.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0070707,Sleeper,1973,7.2,42226.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0070723,Soylent Green,1973,7.1,61291.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0070735,The Sting,1973,8.3,251179.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0070849,Last Tango in Paris,1972,7.0,52016.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0070909,Westworld,1973,7.0,55302.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0070917,The Wicker Man,1973,7.5,76381.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0071129,Amarcord,1973,7.9,41851.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0071222,Black Christmas,1974,7.2,36875.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0071230,Blazing Saddles,1974,7.7,131939.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0071315,Chinatown,1974,8.2,310309.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0071360,The Conversation,1974,7.8,106064.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0071402,Death Wish,1974,7.0,37834.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0071562,The Godfather: Part II,1974,9.0,1187214.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0071615,The Holy Mountain,1973,7.9,40161.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0071807,The Man with the Golden Gun,1974,6.7,100606.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0071853,Monty Python and the Holy Grail,1975,8.2,518774.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0071877,Murder on the Orient Express,1974,7.3,58829.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0072271,The Texas Chain Saw Massacre,1974,7.5,146951.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0072308,The Towering Inferno,1974,7.0,41853.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0072431,Young Frankenstein,1974,8.0,150747.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0072443,Mirror,1975,8.1,43562.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0072684,Barry Lyndon,1975,8.1,158896.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0072890,Dog Day Afternoon,1975,8.0,246460.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0073195,Jaws,1975,8.0,566566.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0073312,Love and Death,1975,7.7,37525.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0073341,The Man Who Would Be King,1975,7.8,47190.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
