primaryTitle,startYear,averageRating,numVotes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,Western
Fatherhood,2021,6.6,32190.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Mauritanian,2021,7.5,40206.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Godzilla vs. Kong,2021,6.4,179370.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Raya and the Last Dragon,2021,7.4,120264.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wish Dragon,2021,7.2,20244.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Protege,2021,6.1,15933.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Annette,2021,6.4,10958.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Don't Breathe 2,2021,6.1,33375.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Free Guy,2021,7.2,193630.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Suicide Squad,2021,7.3,242188.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vivo,2021,6.7,13825.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxygen,2021,6.5,32594.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Blood Red Sky,2021,6.1,40185.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Moxie,2021,6.7,22522.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Fear Street: Part One - 1994,2021,6.2,68317.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
The White Tiger,2021,7.1,55116.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Palmer,2021,7.3,30018.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Conjuring: The Devil Made Me Do It,2021,6.3,92815.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
The Conjuring: The Devil Made Me Do It,2021,6.3,92815.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Venom: Let There Be Carnage,2021,6.3,61030.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Venom: Let There Be Carnage,2021,6.3,61030.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Major Grom: Plague Doctor,2021,6.3,10472.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kate,2021,6.2,45443.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nobody,2021,7.4,169825.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
The Mitchells vs the Machines,2021,7.7,78407.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Mitchells vs the Machines,2021,7.7,78407.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Many Saints of Newark,2021,6.4,34091.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Vakeel Saab,2021,7.8,10967.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Gunpowder Milkshake,2021,6.0,32450.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Hitman's Wife's Bodyguard,2021,6.1,59043.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The United States vs. Billie Holiday,2021,6.3,11314.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
The French Dispatch,2021,7.5,18453.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Eternals,2021,6.9,67946.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cherry,2021,6.6,26905.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
The Green Knight,2021,6.6,60238.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Werewolves Within,2021,6.0,10701.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Shang-Chi and the Legend of the Ten Rings,2021,7.8,126710.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Guilty,2021,6.3,82944.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
The Big Bull,2021,6.2,15843.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Last Night in Soho,2021,7.5,18393.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Bad Trip,2021,6.6,21563.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fear Street: Part Two - 1978,2021,6.7,52683.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Fear Street: Part Three - 1666,2021,6.6,42909.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
The Vault,2021,6.4,18587.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Tomorrow War,2021,6.6,174962.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Judas and the Black Messiah,2021,7.5,63482.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Below Zero,2021,6.2,17117.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
