primaryTitle,startYear,genre1,genre2,genre3,averageRating,numVotes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western
The Man with the Iron Fists,2012,Action,,,5.4,61850.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Manchurian Candidate,2004,Drama,Mystery,Sci-Fi,6.6,108376.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
The Manchurian Candidate,1962,Drama,Thriller,,7.9,73821.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Many Adventures of Winnie the Pooh,1977,Adventure,Animation,Comedy,7.6,34702.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Marine,2006,Action,Comedy,Drama,4.7,33406.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Martian,2015,Adventure,Drama,Sci-Fi,8.0,802691.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Mask,1994,Action,Comedy,Crime,6.9,365548.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Mask of Zorro,1998,Action,Adventure,Comedy,6.8,176649.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Master,2012,Drama,,,7.2,164608.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Matador,2005,Comedy,Crime,Thriller,6.7,44685.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Matrix,1999,Action,Sci-Fi,,8.7,1777050.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
